Country,Year,Per capita income,Size
Aruba,2002,20436.88713,4
Aruba,2003,20833.76161,5
Aruba,2004,22569.97499,5
Aruba,2005,23300.03956,3
Aruba,2006,24045.27248,7
Aruba,2007,25835.13267,9
Aruba,2008,27084.70369,8
Afghanistan,2002,179.4264945,9
Afghanistan,2003,190.6840088,9.785714286
Afghanistan,2004,211.3819695,10.57142857
Afghanistan,2005,242.0313792,11.35714286
Afghanistan,2006,263.7337347,12.14285714
Afghanistan,2007,359.69348,12.92857143
Afghanistan,2008,364.6604654,13.71428571
Angola,2002,872.4944916,14.5
Angola,2003,982.9608993,15.28571429
Angola,2004,1255.564045,16.07142857
Angola,2005,1902.422346,16.85714286
Angola,2006,2599.566464,17.64285714
Angola,2007,3121.995637,18.42857143
Angola,2008,4080.94141,19.21428571
Albania,2002,1425.124849,20
Albania,2003,1846.118813,20.78571429
Albania,2004,2373.579844,21.57142857
Albania,2005,2673.787283,22.35714286
Albania,2006,2972.743265,23.14285714
Albania,2007,3595.037163,23.92857143
Albania,2008,4370.540087,24.71428571
Andorra,2002,24741.49357,25.5
Andorra,2003,32776.44227,26.28571429
Andorra,2004,38503.47961,27.07142857
Andorra,2005,41282.02012,27.85714286
Andorra,2006,43747.69185,28.64285714
Andorra,2007,48582.22088,29.42857143
Andorra,2008,47785.08927,30.21428571
Arab World,2002,2475.104262,31
Arab World,2003,2734.817321,31.78571429
Arab World,2004,3132.857134,32.57142857
Arab World,2005,3763.348027,33.35714286
Arab World,2006,4356.830765,34.14285714
Arab World,2007,4960.663315,34.92857143
Arab World,2008,6143.344714,35.71428571
United Arab Emirates,2002,31567.47371,36.5
United Arab Emirates,2003,33499.09375,37.28571429
United Arab Emirates,2004,36333.24984,38.07142857
United Arab Emirates,2005,39365.4339,38.85714286
United Arab Emirates,2006,41907.40566,39.64285714
United Arab Emirates,2007,41809.51638,40.42857143
United Arab Emirates,2008,44498.93423,41.21428571
Argentina,2002,2593.40415,42
Argentina,2003,3349.806124,42.78571429
Argentina,2004,4277.721351,43.57142857
Argentina,2005,5109.851325,44.35714286
Argentina,2006,5919.012037,45.14285714
Argentina,2007,7245.448317,45.92857143
Argentina,2008,9020.873098,46.71428571
Armenia,2002,783.2406986,47.5
Armenia,2003,930.1273219,48.28571429
Armenia,2004,1191.91902,49.07142857
Armenia,2005,1643.753029,49.85714286
Armenia,2006,2158.143697,50.64285714
Armenia,2007,3139.277499,51.42857143
Armenia,2008,4010.857243,52.21428571
American Samoa,2002,8700.067705,53
American Samoa,2003,8856.547459,53.78571429
American Samoa,2004,8578.944723,54.57142857
American Samoa,2005,8444.9817,55.35714286
American Samoa,2006,8391.561067,56.14285714
American Samoa,2007,8909.449156,56.92857143
American Samoa,2008,9792.666806,57.71428571
Antigua and Barbuda,2002,10404.43621,58.5
Antigua and Barbuda,2003,10789.95096,59.28571429
Antigua and Barbuda,2004,11446.63847,60.07142857
Antigua and Barbuda,2005,12547.61304,60.85714286
Antigua and Barbuda,2006,13989.71567,61.64285714
Antigua and Barbuda,2007,15607.08987,62.42857143
Antigua and Barbuda,2008,16024.34555,63.21428571
Australia,2002,20082.48327,64
Australia,2003,23447.031,64.78571429
Australia,2004,30430.67644,65.57142857
Australia,2005,33999.24286,66.35714286
Australia,2006,36044.92281,67.14285714
Australia,2007,40960.05449,67.92857143
Australia,2008,49601.65671,68.71428571
Austria,2002,26401.74546,69.5
Austria,2003,32222.89724,70.28571429
Austria,2004,36821.52147,71.07142857
Austria,2005,38403.13388,71.85714286
Austria,2006,40635.28182,72.64285714
Austria,2007,46855.77175,73.42857143
Austria,2008,51708.76575,74.21428571
